Ano,P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Ticker,Tipo
2021,13.23,2.38,16.60521298419211,11.31,11.47,3.52,2.35,0.63,7.512599199733244,28.62,-2.59,-0.03,10.20935542857143,-0.17,0.99,0.01,10.21,44.870923770184,-30.193584756304414,-13.713876267367633,-50.852420202778816,17.96,17.8,17.86,0.0,8.991378868978357,11.72,CXSE3,acoes
2022,17.91,3.27,16.60521298419211,11.71,11.19,3.41,1.1,0.62,1.04,3.72,-2.35,0.16,10.20935542857143,0.56,0.34,0.66,2.26,16.33,-30.193584756304414,9.26,5.78,18.24,6.16,10.98,1.07,8.991378868978357,13.030695948035882,GGPS3,acoes
2021,26.5,4.83,16.60521298419211,18.08,17.38,3.29,1.6,0.6,1.6,5.52,-3.34,0.19,10.20935542857143,0.7,0.33,0.67,2.27,16.86,-30.193584756304414,9.21,6.04,18.21,6.05,10.32,1.0,8.991378868978357,13.030695948035882,GGPS3,acoes
2022,21.69,1.92,11.8,14.03,12.56,4.34,0.71,0.38,2.8,3.27,-1.04,0.2,1.09,1.3,0.37,0.62,3.18,38.2,26.47,22.27,12.89,8.87,3.28,6.16,0.25,8.991378868978357,13.030695948035882,MATD3,acoes
2021,35.62,3.15,17.65,20.61,21.3,4.29,1.26,0.38,5.04,3.68,-2.2,-0.1,-0.59,-0.69,0.4,0.59,5.05,39.51,27.62,23.65,14.15,8.84,3.54,6.03,0.25,8.991378868978357,13.030695948035882,MATD3,acoes
2022,3.53,0.61,2.62,3.09,2.34,16.45,0.24,2.84,0.16,1.03,-0.78,0.19,0.62,0.73,0.39,0.61,1.48,13.72,7.88,6.66,4.42,17.24,6.66,19.9,1.51,8.991378868978357,13.030695948035882,ALLD3,acoes
2021,5.5,1.05,2.61,3.06,3.89,16.22,0.35,3.09,0.28,1.74,-1.33,-0.22,-0.71,-0.83,0.33,0.67,1.37,14.08,8.32,7.1,5.02,19.07,6.36,20.12,1.27,8.991378868978357,13.030695948035882,ALLD3,acoes
2022,15.7,2.84,9.23,9.67,10.64,9.27,2.05,1.68,3.49,3.53,-7.19,-0.29,-1.05,-1.1,0.72,0.28,5.42,48.5,34.32,32.75,22.2,18.07,13.08,15.3,0.59,8.991378868978357,13.030695948035882,BLAU3,acoes
2021,20.08,3.99,12.53,13.1,14.3,9.12,2.8,1.81,4.78,4.82,-10.34,-0.34,-1.15,-1.2,0.7,0.3,4.95,48.74,34.95,33.42,23.8,19.88,13.97,14.83,0.59,8.991378868978357,13.030695948035882,BLAU3,acoes
2022,-0.17,0.39,-10.18,-2.47,-0.21,2.85,0.02,-6.55,0.03,-0.05,-0.02,4.25,-9.3,-2.26,0.04,0.96,0.39,8.42,-3.47,-14.28,-17.46,-229.65,-9.94,-42.78,0.57,-12.49,13.030695948035882,ATMP3,acoes
2021,-0.51,0.45,-129.02,-3.34,-0.62,5.79,0.04,-5.1,0.07,-0.13,-0.05,1.98,-105.15,-2.72,0.09,0.91,0.42,8.53,-0.28,-10.74,-13.0,-88.18,-7.72,-35.25,0.59,-12.49,13.030695948035882,ATMP3,acoes
2020,-0.26,0.34,-12.65,-2.15,-0.38,6.78,0.03,-8.7,0.06,-0.16,-0.04,1.56,-10.39,-1.77,0.09,0.91,0.48,1.81,-2.66,-15.64,-22.72,-128.42,-12.05,-33.09,0.53,-16.98,13.030695948035882,ATMP3,acoes
2019,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,-2.48,-1.51,-0.13,1.13,0.49,-17.07,-18.2,-29.8,-48.96,-255.17,-32.62,-102.93,0.67,-21.09,13.030695948035882,ATMP3,acoes
2018,-0.03,0.07,16.60521298419211,-1.12,-0.11,12.18,0.0,-32.61,0.0,-0.34,-0.01,0.65,10.20935542857143,-1.01,0.06,0.94,0.96,-2.39,-30.193584756304414,-3.96,-16.42,-267.8,-16.45,-71.01,1.0,-17.77,13.030695948035882,ATMP3,acoes
2017,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,-593.34,4.14353964866196,-530.81,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,-7.03,-4.36,-0.26,1.26,1.46,-1.59,-8.47,-13.65,-22.72,-89.46,-23.56,-60.82,1.04,-14.02,13.030695948035882,ATMP3,acoes
2016,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,0.04,4.14353964866196,-0.23,7.512599199733244,119993.89719612765,110018.74129170092,86.44,34.11,-7.89,0.01,0.99,1.49,4.62,1.59,-6.88,-3.83,-610.28,-3.6,-16.82,0.94,-7.13,13.030695948035882,ATMP3,acoes
2015,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,0.49,4.14353964866196,-0.66,7.512599199733244,119993.89719612765,110018.74129170092,7.05,20.09,-6.86,0.06,0.94,0.54,2.54,2.5,-7.32,-9.47,-132.86,-8.61,-15.61,0.91,-0.01,13.030695948035882,ATMP3,acoes
2014,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,1.14,4.14353964866196,0.28,7.512599199733244,119993.89719612765,110018.74129170092,2.57,2.65,5.62,0.15,0.85,0.94,15.27,13.6,6.41,3.43,24.42,3.64,8.27,1.06,5.47,-6.0,ATMP3,acoes
2013,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,1.27,4.14353964866196,0.3,7.512599199733244,119993.89719612765,110018.74129170092,1.88,2.04,4.19,0.17,0.83,0.98,15.04,11.15,5.43,2.83,23.33,3.88,11.4,1.37,15.31,2.05,ATMP3,acoes
2022,12.95,6.88,8.19,10.36,7.83,2.21,0.63,1.18,0.47,22.93,-1.01,2.22,1.99,2.52,0.09,0.91,1.08,17.0,7.55,5.97,3.61,53.08,4.88,17.75,1.35,8.991378868978357,13.030695948035882,ASAI3,acoes
2021,10.84,6.31,7.13,8.89,6.77,2.05,0.76,1.2,0.42,136.35,-1.24,1.98,1.7,2.13,0.12,0.88,1.01,17.05,7.68,6.16,3.84,58.21,7.04,21.67,1.83,8.991378868978357,13.030695948035882,ASAI3,acoes
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,3.05,1.13,2.08,0.07,0.93,0.96,16.41,10.56,5.74,3.88,99.15,7.43,17.66,1.92,8.991378868978357,13.030695948035882,ASAI3,acoes
2019,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,0.53,1.75,2.23,0.2,0.73,0.88,16.85,7.73,6.06,3.73,14.75,2.92,6.89,0.78,8.991378868978357,13.030695948035882,ASAI3,acoes
2022,5.28,1.03,16.60521298419211,7.92,2.34,4.73,0.2,0.92,0.29,1.05,-0.3,2.44,10.20935542857143,5.56,0.19,0.81,2.19,15.48,-30.193584756304414,12.61,5.58,19.45,3.72,10.18,0.67,-8.01,13.030695948035882,JSLG3,acoes
2021,7.97,1.63,6.79,9.82,4.12,4.62,0.3,0.95,0.5,1.49,-0.48,2.26,3.94,5.71,0.19,0.81,2.19,15.38,17.65,12.2,6.3,20.46,3.8,8.98,0.6,-8.01,13.030695948035882,JSLG3,acoes
2020,16.78,2.85,4.71,25.13,15.51,3.8,0.63,0.65,1.07,3.17,-1.03,1.77,1.8,9.63,0.22,0.78,2.01,10.67,36.91,6.91,6.39,16.98,3.73,4.59,0.58,-13.95,31.03,JSLG3,acoes
2019,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,6.55,4.14353964866196,1.1,7.512599199733244,119993.89719612765,110018.74129170092,6.46,5.83,30.66,0.07,0.88,1.9,13.31,48.11,9.15,7.28,16.77,1.11,1.61,0.15,8.991378868978357,13.030695948035882,JSLG3,acoes
2018,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,3.72,4.14353964866196,0.65,7.512599199733244,119993.89719612765,110018.74129170092,9.5,4.47,7.44,0.05,0.92,1.78,21.87,19.79,11.9,1.63,17.43,0.83,6.57,0.51,8.991378868978357,13.030695948035882,JSLG3,acoes
2017,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,3.32,4.14353964866196,-0.01,7.512599199733244,119993.89719612765,110018.74129170092,8.5,10.20935542857143,8.28,0.06,0.9,1.43,20.48,-30.193584756304414,9.71,-0.04,-0.4,-0.02,7.27,0.63,8.991378868978357,13.030695948035882,JSLG3,acoes
2022,4.32,1.39,16.60521298419211,2.24,2.52,2.69,0.85,0.87,1.19,3.32,-1.43,-0.15,10.20935542857143,-0.28,0.61,0.39,2.73,55.44,-30.193584756304414,47.02,27.45,32.21,19.74,31.76,0.72,8.991378868978357,13.030695948035882,CMIN3,acoes
2021,5.92,2.69,16.60521298419211,3.32,3.98,2.5,1.4,1.14,1.98,6.01,-2.66,-0.44,10.20935542857143,-0.66,0.52,0.48,1.96,57.94,-30.193584756304414,49.74,33.46,45.51,23.6,35.46,0.71,8.991378868978357,13.030695948035882,CMIN3,acoes
2022,-809.75,1.73,13.63,48.42,45.47,5.43,0.86,-0.01,2.82,4.6,-1.43,0.06,0.42,1.49,0.5,0.5,1.87,34.8,22.02,6.2,-0.35,-0.21,-0.11,1.92,0.3,8.991378868978357,13.030695948035882,ELMD3,acoes
2021,-121.22,1.81,17.45,155.79,152.69,5.52,0.85,-0.08,3.35,3.52,-1.57,0.04,0.35,3.11,0.47,0.53,2.14,35.29,19.58,2.19,-2.76,-1.5,-0.7,0.31,0.26,8.991378868978357,13.030695948035882,ELMD3,acoes
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,6.34,310.91,-9.18,0.09,0.91,0.72,33.12,0.7,-23.64,-25.4,-74.15,-6.71,-11.47,0.26,8.991378868978357,13.030695948035882,ELMD3,acoes
2019,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,1.17,1.28,1.75,0.23,0.76,1.08,44.38,20.44,14.92,4.68,21.05,4.78,15.43,1.02,8.991378868978357,13.030695948035882,ELMD3,acoes
2018,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,1.21,2.07,3.06,0.24,0.75,0.8,46.18,15.38,10.4,4.05,15.36,3.74,11.56,0.92,8.991378868978357,13.030695948035882,ELMD3,acoes
2017,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,1.05,1.89,2.85,0.28,0.71,0.9,47.31,16.26,10.79,-1.35,-4.59,-1.27,12.88,0.94,8.991378868978357,13.030695948035882,ELMD3,acoes
2022,-54.43,5.78,16.60521298419211,21.64,16.78,4.69,1.59,-0.5,4.33,6.96,-2.63,1.66,10.20935542857143,4.82,0.28,0.71,2.36,41.31,-30.193584756304414,25.83,-7.96,-10.61,-2.92,8.45,0.37,8.991378868978357,13.030695948035882,ORVR3,acoes
2021,-30.99,5.4,16.60521298419211,31.07,24.12,4.98,1.59,-0.87,4.41,4.64,-3.19,1.56,10.20935542857143,6.94,0.29,0.69,3.19,41.08,-30.193584756304414,18.3,-14.24,-17.44,-5.14,4.72,0.36,8.991378868978357,13.030695948035882,ORVR3,acoes
2022,-11.65,0.55,16.60521298419211,46.25,15.77,3.87,0.19,-0.18,0.42,1.68,-0.26,1.06,10.20935542857143,30.55,0.34,0.66,1.63,16.79,-30.193584756304414,2.66,-3.6,-4.7,-1.62,0.3,0.45,8.991378868978357,13.030695948035882,OPCT3,acoes
2021,-12.66,0.67,6.9,42.41,19.28,4.49,0.24,-0.24,0.68,1.33,-0.36,0.8,3.77,23.13,0.36,0.64,2.2,17.79,21.67,3.53,-5.37,-5.28,-1.91,1.04,0.36,8.991378868978357,13.030695948035882,OPCT3,acoes
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,4.03,4.22,8.98,0.14,0.86,1.29,19.48,23.52,11.06,-3.55,-14.43,-2.03,6.4,0.57,8.991378868978357,13.030695948035882,OPCT3,acoes
2019,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,2.54,3.68,9.38,0.22,0.78,0.93,18.01,23.38,9.18,2.17,6.39,1.38,6.52,0.64,8.991378868978357,13.030695948035882,OPCT3,acoes
2018,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,1.72,4.2,12.22,0.31,0.69,0.95,24.31,20.13,6.91,-4.65,-9.5,-2.91,3.34,0.63,8.991378868978357,13.030695948035882,OPCT3,acoes
2017,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,1.12,3.69,8.45,0.39,0.61,1.39,23.96,27.8,12.14,4.28,4.68,1.83,4.6,0.43,8.991378868978357,13.030695948035882,OPCT3,acoes
2022,-7.31,0.64,16.60521298419211,-1.02,-4.59,3.39,0.51,-0.3,0.74,0.9,-1.62,-0.5,10.20935542857143,3.61,0.8,0.2,5.97,43.98,-30.193584756304414,-16.11,-10.12,-8.71,-6.98,-14.46,0.69,8.991378868978357,13.030695948035882,WEST3,acoes
2021,-9.14,1.01,16.60521298419211,-2.41,-6.03,3.45,0.79,-0.38,1.23,1.38,-2.79,-0.61,10.20935542857143,3.62,0.77,0.23,4.82,43.59,-30.193584756304414,-20.36,-13.43,-11.08,-8.59,-18.36,0.64,8.991378868978357,13.030695948035882,WEST3,acoes
2022,18.3,0.88,3.22,4.2,4.01,3.82,0.26,0.18,0.69,1.92,-0.36,0.04,0.14,0.18,0.3,0.7,2.05,47.86,22.31,17.09,3.74,4.81,1.43,12.25,0.38,8.991378868978357,13.030695948035882,CSED3,acoes
2021,35.44,2.02,7.44,9.68,9.38,3.81,0.62,0.22,1.61,3.96,-0.85,0.06,0.23,0.29,0.3,0.7,2.33,47.27,22.37,17.21,4.56,5.71,1.74,11.78,0.38,8.991378868978357,13.030695948035882,CSED3,acoes
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,2.56,4.07,6.59,0.12,0.88,0.83,47.92,15.81,9.77,-1.93,-7.7,-0.95,9.18,0.49,8.991378868978357,13.030695948035882,CSED3,acoes
2019,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,1.52,2.28,2.75,0.23,0.77,0.2,43.65,23.07,19.11,8.2,23.66,5.5,19.67,0.67,8.991378868978357,13.030695948035882,CSED3,acoes
2018,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,1.79,2.97,3.52,0.26,0.74,0.87,41.69,21.21,17.92,9.39,26.7,6.88,17.24,0.73,8.991378868978357,13.030695948035882,CSED3,acoes
2017,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,0.45,0.95,1.17,0.44,0.56,0.98,42.17,18.12,14.7,8.64,22.54,9.95,22.28,1.15,8.991378868978357,13.030695948035882,CSED3,acoes
2022,12.6,1.02,3.89,5.8,11.7,11.23,0.74,0.91,1.29,1.81,-2.04,-0.52,-3.98,-5.93,0.73,0.27,2.77,27.67,16.44,11.03,10.24,8.08,5.86,5.04,0.57,8.991378868978357,13.030695948035882,BMOB3,acoes
2021,18.38,1.34,7.35,10.26,16.31,11.33,0.96,0.83,2.83,2.5,-2.55,-0.5,-4.34,-6.05,0.71,0.29,2.58,37.2,24.23,17.36,15.41,7.32,5.21,5.01,0.34,8.991378868978357,13.030695948035882,BMOB3,acoes
