Ano,P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Ticker,Tipo
2018,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,1.74,4.14353964866196,-0.17,7.512599199733244,119993.89719612765,110018.74129170092,0.86,10.20935542857143,-15.97,0.37,0.63,0.87,55.78,-30.193584756304414,-6.18,-10.98,-9.57,-3.58,-5.96,0.33,10.47,13.030695948035882,CASN4,acoes
2017,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,1.83,4.14353964866196,-0.04,7.512599199733244,119993.89719612765,110018.74129170092,0.74,10.20935542857143,27.2,0.41,0.59,1.37,55.94,-30.193584756304414,3.46,-2.79,-2.18,-0.88,1.11,0.32,10.83,13.030695948035882,CASN4,acoes
2016,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,1.87,4.14353964866196,0.04,7.512599199733244,119993.89719612765,110018.74129170092,0.63,10.20935542857143,5.24,0.46,0.54,1.58,55.04,-30.193584756304414,17.6,3.09,2.12,0.98,6.71,0.32,11.22,29.13,CASN4,acoes
2015,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,1.79,4.14353964866196,0.02,7.512599199733244,119993.89719612765,110018.74129170092,0.47,10.20935542857143,5.65,0.48,0.52,1.72,51.42,-30.193584756304414,13.36,1.37,0.86,0.41,5.22,0.3,10.26,13.030695948035882,CASN4,acoes
2014,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,1.79,4.14353964866196,0.1,7.512599199733244,119993.89719612765,110018.74129170092,0.28,10.20935542857143,1.81,0.53,0.47,1.75,55.04,-30.193584756304414,26.71,10.04,5.85,3.1,8.08,0.31,9.81,16.94,CASN4,acoes
2013,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,1.71,4.14353964866196,0.06,7.512599199733244,119993.89719612765,110018.74129170092,0.17,10.20935542857143,2.03,0.52,0.48,1.34,56.47,-30.193584756304414,15.65,6.3,3.41,1.79,5.0,0.28,8.991378868978357,13.030695948035882,CASN4,acoes
2022,4.99,0.75,3.46,4.84,3.38,73.8,0.16,11.01,0.24,1.62,-0.26,0.31,1.0,1.4,0.22,0.78,1.38,12.35,9.78,6.99,4.73,14.92,3.29,8.65,0.69,13.22,13.030695948035882,CLSC4,acoes
2021,4.66,1.0,3.53,4.62,3.29,67.96,0.22,14.6,0.23,5.42,-0.32,0.45,1.13,1.48,0.22,0.78,1.15,11.35,9.2,7.03,4.97,21.48,4.71,11.61,0.95,13.22,13.030695948035882,CLSC4,acoes
2020,4.2,1.1,3.25,4.4,3.19,51.45,0.2,13.45,0.25,5.02,-0.32,0.4,0.86,1.17,0.19,0.81,1.12,13.59,10.41,7.69,5.86,26.13,4.86,12.05,0.83,4.67,31.75,CLSC4,acoes
2019,9.88,0.98,4.1,6.14,4.41,52.51,0.18,5.21,0.26,119993.89719612765,110018.74129170092,0.78,1.51,2.2,0.15,0.85,0.97,12.39,9.04,6.2,3.54,20.15,2.99,11.72,0.84,4.99,-11.18,CLSC4,acoes
2018,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,0.4,1.18,1.82,0.18,0.82,0.98,10.83,7.97,5.16,2.15,9.16,1.67,8.49,0.78,9.49,-3.66,CLSC4,acoes
2017,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,-0.04,-0.16,-0.27,0.2,0.8,0.86,12.43,7.39,4.31,0.94,3.61,0.73,9.27,0.78,9.9,13.030695948035882,CLSC4,acoes
2016,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,-0.06,-0.39,-1.38,0.24,0.76,0.99,8.61,5.4,1.54,-0.16,-0.47,-0.11,2.69,0.71,8.36,13.030695948035882,CLSC4,acoes
2015,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,0.1,0.41,0.78,0.28,0.72,1.07,9.56,7.71,4.01,1.85,5.87,1.64,7.1,0.88,11.8,-13.73,CLSC4,acoes
2014,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,0.17,0.39,0.5,0.38,0.62,2.95,16.85,16.61,13.14,8.16,21.89,8.31,15.74,1.02,12.43,32.76,CLSC4,acoes
2013,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,0.01,0.04,0.08,0.38,0.62,1.12,16.81,8.45,4.15,4.08,9.3,3.53,3.72,0.87,8.991378868978357,13.030695948035882,CLSC4,acoes
2022,3.88,0.85,16.60521298419211,4.81,3.37,8.1,0.38,1.77,0.76,5.84,-0.49,0.38,10.20935542857143,1.5,0.45,0.55,1.4,20.38,-30.193584756304414,22.66,19.65,21.79,9.75,12.62,0.5,12.85,40.08,CPLE6,acoes
2021,3.56,0.79,16.60521298419211,4.75,3.24,8.1,0.36,1.81,0.73,5.49,-0.46,0.38,10.20935542857143,1.53,0.44,0.55,1.4,20.28,-30.193584756304414,22.71,20.65,22.68,10.0,12.31,0.48,12.85,40.78,CPLE6,acoes
2020,5.25,1.03,16.60521298419211,56.73517328028479,4.82,72.94,0.44,14.27,1.1,11.7,-0.58,0.34,1.31,1.58,0.43,0.57,1.18,28.37,27.61,22.83,20.95,19.56,8.35,9.83,0.4,4.51,26.76,CPLE6,acoes
2019,9.5,1.1,16.60521298419211,56.73517328028479,5.92,63.04,0.49,7.27,1.16,7.37,-0.62,0.5,2.07,2.7,0.45,0.54,1.48,27.6,25.72,19.64,12.25,11.53,5.19,8.75,0.42,3.14,10.54,CPLE6,acoes
2018,5.94,0.52,16.60521298419211,56.73517328028479,3.49,58.59,0.23,5.14,0.56,-484.14,-0.29,0.59,10.20935542857143,3.96,0.45,0.55,1.0,22.99,-30.193584756304414,16.03,9.42,8.78,3.92,6.75,0.42,10.22,5.58,CPLE6,acoes
2017,6.61,0.45,16.60521298419211,56.73517328028479,3.19,55.57,0.21,3.78,0.49,-16.73,-0.25,0.57,10.20935542857143,4.08,0.46,0.53,0.93,23.95,-30.193584756304414,15.27,7.37,6.8,3.12,7.37,0.42,10.55,8.09,CPLE6,acoes
2016,8.36,0.51,16.60521298419211,56.73517328028479,3.76,53.78,0.25,3.27,0.57,-5.28,-0.29,0.5,10.20935542857143,3.8,0.5,0.5,2.723425095370657,21.89,-30.193584756304414,15.18,6.84,5.91,2.94,6.12,0.43,11.0,-5.0,CPLE6,acoes
2015,5.58,0.47,16.60521298419211,56.73517328028479,3.13,52.06,0.23,4.36,0.44,3.1,-0.3,0.41,10.20935542857143,2.76,0.49,0.5,1.45,21.05,-30.193584756304414,14.23,7.98,8.36,4.12,7.13,0.52,16.71,3.84,CPLE6,acoes
2014,8.15,0.74,16.60521298419211,56.73517328028479,5.69,48.71,0.38,4.41,0.71,8.45,-0.48,0.35,2.05,2.8,0.53,0.47,2.723425095370657,18.89,16.93,12.41,8.66,8.81,4.71,6.11,0.54,17.37,8.78,CPLE6,acoes
2013,7.79,0.66,16.60521298419211,56.73517328028479,6.81,46.23,0.36,3.92,0.91,6.27,-0.45,0.19,1.31,1.96,0.56,0.44,2.723425095370657,23.34,19.93,13.36,11.68,8.3,4.64,4.7,0.4,10.95,-0.11,CPLE6,acoes
2022,7.71,18.41,6.94,8.09,6.0,6.6,1.25,15.76,1.24,9.58,-2.23,6.77,1.89,2.21,0.07,0.93,1.42,27.44,24.12,20.67,16.08,238.81,16.19,30.0,1.01,15.66,18.31,CGAS5,acoes
2021,9.44,18.11,16.60521298419211,56.73517328028479,7.76,8.34,1.63,15.99,1.71,-51.36,-2.46,5.48,2.01,2.35,0.09,0.91,0.91,30.0,25.75,22.03,18.1,191.74,17.27,30.09,0.95,15.66,18.65,CGAS5,acoes
2020,19.89,38.79,16.60521298419211,56.73517328028479,11.42,4.45,2.16,8.68,2.75,37.18,-3.58,9.21,2.28,2.71,0.06,0.94,1.17,33.8,28.65,24.09,13.83,195.0,10.84,18.79,0.78,4.74,10.49,CGAS5,acoes
2019,13.81,36.34,16.60521298419211,56.73517328028479,8.68,3.92,2.23,10.32,1.98,-1192.16,-3.34,8.01,1.66,1.91,0.06,0.94,0.99,32.71,26.41,22.85,14.37,263.17,16.18,26.85,1.13,8.3,17.45,CGAS5,acoes
2018,5.79,2.85,16.60521298419211,56.73517328028479,4.21,20.61,0.93,10.15,1.13,5.89,-1.51,1.12,10.20935542857143,1.65,0.33,0.67,1.69,28.34,-30.193584756304414,26.95,19.58,49.22,16.02,19.78,0.82,1.54,16.7,CGAS5,acoes
2017,12.19,3.87,16.60521298419211,56.73517328028479,6.83,15.51,0.9,4.92,1.41,44.63,-1.45,1.23,10.20935542857143,2.17,0.23,0.77,1.06,36.94,-30.193584756304414,20.64,11.56,31.73,7.39,13.9,0.64,0.96,11.56,CGAS5,acoes
2016,6.49,2.26,16.60521298419211,56.73517328028479,3.71,20.35,0.67,7.08,1.03,5.69,-1.03,0.76,10.20935542857143,1.25,0.3,0.7,1.52,43.89,-30.193584756304414,27.85,15.93,34.78,10.39,17.48,0.65,6.64,30.71,CGAS5,acoes
2015,6.91,1.52,16.60521298419211,56.73517328028479,4.12,26.1,0.54,5.73,0.73,6.5,-0.79,0.58,10.20935542857143,1.59,0.36,0.64,1.36,30.57,-30.193584756304414,17.74,10.59,21.97,7.88,12.57,0.74,10.0,3.8,CGAS5,acoes
2014,9.72,1.91,16.60521298419211,56.73517328028479,5.66,25.51,0.78,5.02,0.93,16.82,-1.03,0.69,10.20935542857143,2.06,0.41,0.59,1.24,29.63,-30.193584756304414,16.44,9.58,19.67,8.0,12.89,0.84,9.18,-2.39,CGAS5,acoes
2013,11.28,2.63,16.60521298419211,56.73517328028479,6.51,22.17,1.01,5.17,1.1,73.78,-1.29,0.87,10.20935542857143,2.15,0.38,0.62,1.07,28.09,-30.193584756304414,16.92,9.77,23.3,8.94,14.73,0.92,8.991378868978357,13.030695948035882,CGAS5,acoes
2022,6.07,1.86,7.34,5.7,3.9,21.03,0.77,6.44,4.01,7.11,-0.96,0.86,2.32,1.8,0.42,0.58,2.32,84.47,79.93,102.9,66.02,30.61,12.75,20.58,0.19,20.07,20.8,TAEE11,acoes
2021,5.66,1.87,7.1,5.52,3.65,19.4,0.79,6.43,3.61,17.45,-0.91,0.96,2.41,1.87,0.42,0.58,1.51,81.31,76.84,98.94,63.76,33.12,13.93,22.42,0.22,20.07,20.76,TAEE11,acoes
2020,5.07,1.91,7.11,5.27,3.59,17.49,0.81,6.57,3.22,7.56,-0.98,0.89,2.26,1.68,0.43,0.57,2.8,70.57,66.53,89.71,63.54,37.55,16.04,22.3,0.25,18.22,20.0,TAEE11,acoes
2019,10.72,2.18,14.48,11.39,7.65,14.3,0.96,2.91,5.98,4.18,-1.4,1.07,4.76,3.74,0.44,0.56,3.58,68.02,61.57,78.27,55.82,20.33,8.92,12.28,0.16,3.71,2.06,TAEE11,acoes
2018,7.59,1.78,10.05,7.98,5.69,13.27,0.94,3.11,4.97,6.35,-1.22,0.72,2.89,2.29,0.53,0.47,2.98,77.84,69.41,87.44,65.51,23.43,12.43,16.29,0.19,2.46,3.71,TAEE11,acoes
2017,11.34,1.69,13.52,11.12,7.94,12.62,0.91,1.88,6.83,5.65,-1.2,0.68,3.87,3.18,0.54,0.46,3.02,81.64,70.71,86.0,60.19,14.91,8.05,11.84,0.13,-0.9,1.93,TAEE11,acoes
2016,8.29,1.66,9.08,7.54,5.21,12.5,0.85,2.5,5.14,8.11,-1.11,0.74,2.8,2.33,0.51,0.49,1.82,89.27,81.86,98.57,61.97,20.01,10.25,16.62,0.17,6.88,11.72,TAEE11,acoes
2015,6.35,1.32,7.04,6.06,3.75,12.71,0.65,2.64,3.74,5.37,-0.85,0.81,2.68,2.3,0.49,0.51,2.06,92.32,85.73,99.68,58.96,20.78,10.26,17.11,0.17,14.07,16.23,TAEE11,acoes
2014,7.17,1.54,8.16,6.75,4.28,12.26,0.75,2.63,4.34,6.27,-0.94,0.89,2.99,2.47,0.49,0.51,2.38,88.58,83.83,101.32,60.49,21.42,10.45,16.34,0.17,11.43,20.9,TAEE11,acoes
2013,7.02,1.46,9.19,7.96,4.75,12.5,0.68,2.59,4.33,9.08,-0.85,0.99,3.71,3.21,0.47,0.53,2.723425095370657,84.9,79.0,91.25,61.67,20.74,9.75,14.56,0.16,8.991378868978357,13.030695948035882,TAEE11,acoes
2022,7.14,1.65,4.35,4.88,4.89,9.39,0.67,2.17,0.99,11.85,-0.89,0.36,0.95,1.07,0.4,0.6,1.3,20.09,22.76,20.29,13.92,23.15,9.37,17.89,0.67,12.38,70.27,CMIG3,acoes
2021,8.36,1.61,4.36,4.9,4.51,11.49,0.6,2.22,0.93,13.87,-0.8,0.45,1.13,1.27,0.37,0.63,1.21,19.98,23.24,20.66,11.15,19.28,7.21,19.48,0.65,12.38,62.18,CMIG3,acoes
2020,8.7,1.43,6.14,6.96,5.29,11.5,0.46,1.89,0.99,4.32,-0.64,0.57,1.87,2.12,0.32,0.68,1.6,21.34,21.16,18.66,11.35,16.39,5.3,11.6,0.47,2.9,3.02,CMIG3,acoes
2019,7.27,1.43,8.28,11.09,7.31,10.89,0.46,2.14,0.9,10.22,-0.57,0.85,3.24,4.34,0.32,0.68,1.28,22.81,16.41,12.25,12.32,19.69,6.26,5.03,0.51,5.38,-0.06,CMIG3,acoes
2018,12.9,1.5,9.16,13.61,8.78,9.99,0.37,1.17,0.98,4.98,-0.68,0.9,3.55,5.28,0.24,0.73,1.19,20.61,16.65,11.21,7.64,11.66,2.84,6.18,0.37,8.77,-11.34,CMIG3,acoes
2017,8.06,0.56,5.95,7.86,3.05,11.38,0.19,0.8,0.37,-64.56,-0.24,0.86,3.52,4.66,0.34,0.66,0.99,19.46,16.08,12.17,4.61,6.99,2.37,6.96,0.51,8.96,-25.19,CMIG3,acoes
2016,29.67,0.77,8.69,12.71,5.5,10.27,0.24,0.27,0.53,-3.14,-0.29,1.02,4.99,7.3,0.31,0.69,0.72,23.14,14.06,9.62,1.78,2.59,0.8,6.3,0.45,3.58,-32.67,CMIG3,acoes
2015,3.28,0.62,3.55,4.18,1.72,10.31,0.2,1.96,0.37,-2.19,-0.26,0.91,2.13,2.51,0.32,0.68,0.72,27.82,25.32,21.5,11.29,19.01,6.04,13.53,0.54,9.57,1.8,CMIG3,acoes
2014,5.54,1.54,4.46,5.1,3.11,8.96,0.5,2.49,0.89,-4.87,-0.61,1.03,1.82,2.08,0.32,0.68,0.65,34.48,32.66,28.56,16.05,27.8,8.96,17.09,0.56,9.95,8.01,CMIG3,acoes
2013,4.4,1.08,3.87,4.56,3.13,13.13,0.46,3.22,0.93,18.3,-0.59,0.5,1.23,1.45,0.42,0.58,1.13,32.67,35.17,29.82,21.22,24.56,10.41,15.44,0.49,8.991378868978357,13.030695948035882,CMIG3,acoes
2022,-5.43,0.55,4.69,6.94,1.7,12.13,0.08,-1.24,0.07,-0.78,-0.17,1.78,3.69,5.46,0.14,0.85,0.84,14.56,5.68,3.84,-1.2,-10.2,-1.44,10.92,1.2,13.54,13.030695948035882,CEDO3,acoes
2021,46.93,0.54,4.25,6.04,1.61,13.27,0.09,0.15,0.08,-1.14,-0.18,1.56,3.27,4.64,0.16,0.82,0.87,15.67,6.63,4.67,0.16,1.15,0.18,11.82,1.15,13.54,13.030695948035882,CEDO3,acoes
2020,-2.78,0.88,14.95,249.16,101.32,13.11,0.17,-4.15,0.19,-9.38,-0.29,1.48,10.21,170.12,0.19,0.78,0.96,16.76,3.07,0.18,-6.71,-31.63,-6.02,0.15,0.9,9.31,13.030695948035882,CEDO3,acoes
2019,-5.13,0.52,8.49,19.47,5.73,17.26,0.12,-1.76,0.13,-8.64,-0.22,1.26,6.03,13.83,0.24,0.73,0.97,11.24,5.32,2.32,-2.59,-10.17,-2.4,1.46,0.92,3.73,13.030695948035882,CEDO3,acoes
2018,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,19.02,4.14353964866196,4.86,7.512599199733244,119993.89719612765,110018.74129170092,1.31,10.20935542857143,3.94,0.27,0.7,1.04,11.48,-30.193584756304414,9.71,7.48,25.56,6.94,12.3,0.93,2.14,30.18,CEDO3,acoes
2017,1.33,0.78,16.60521298419211,3.73,1.31,14.16,0.19,8.27,0.17,-84.62,-0.31,1.55,10.20935542857143,2.63,0.25,0.72,0.99,18.36,-30.193584756304414,13.18,13.02,58.42,14.37,9.46,1.1,4.69,44.69,CEDO3,acoes
2016,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,5.89,4.14353964866196,-14.03,7.512599199733244,119993.89719612765,110018.74129170092,3.89,10.20935542857143,-2.89,0.11,0.85,0.76,8.69,-30.193584756304414,-15.65,-27.74,-238.26,-26.61,-26.18,0.96,-0.83,13.030695948035882,CEDO3,acoes
2015,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,19.92,4.14353964866196,-9.31,7.512599199733244,119993.89719612765,110018.74129170092,1.12,10.20935542857143,-3.84,0.34,0.62,0.95,4.18,-30.193584756304414,-14.67,-23.49,-46.76,-15.9,-13.66,0.68,-4.32,13.030695948035882,CEDO3,acoes
2014,-8.73,0.29,16.60521298419211,29.17,6.64,29.23,0.12,-0.96,0.15,3.2,-0.19,0.96,10.20935542857143,22.09,0.43,0.54,1.12,14.07,-30.193584756304414,2.24,-1.71,-3.29,-1.41,1.56,0.83,9.52,13.030695948035882,CEDO3,acoes
2013,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,30.39,4.14353964866196,1.3,7.512599199733244,119993.89719612765,110018.74129170092,0.85,10.20935542857143,6.54,0.44,0.52,1.18,18.85,-30.193584756304414,6.79,2.23,4.28,1.88,5.4,0.85,8.991378868978357,13.030695948035882,CEDO3,acoes
2022,5.49,-1.13,10.16,12.89,3.25,-24.39,0.27,5.01,0.29,0.93,-0.91,0.824658251231527,8.45,10.72,-0.24,1.24,1.71,39.8,11.4,8.98,5.31,-20.53,4.92,11.87,0.93,12.05,13.030695948035882,CTKA3,acoes
2021,3.34,-1.43,8.62,10.34,2.86,-21.59,0.3,9.26,0.35,1.03,-1.05,0.824658251231527,6.78,8.13,-0.21,1.21,1.72,40.55,14.65,12.21,10.46,-42.91,9.12,15.23,0.87,12.05,13.030695948035882,CTKA3,acoes
2020,2.0,-0.84,6.63,7.54,1.92,-30.85,0.32,12.97,0.42,1.24,-0.79,0.824658251231527,5.12,5.81,-0.38,1.38,1.75,40.29,25.09,22.07,21.18,-42.05,15.83,17.69,0.75,7.67,13.030695948035882,CTKA3,acoes
2019,-5.39,-0.25,12.66,16.74,1.93,-43.93,0.18,-2.0,0.2,0.6,-0.44,0.824658251231527,11.05,14.61,-0.72,1.72,1.95,40.44,13.6,10.29,-3.69,-4.56,-3.26,13.57,0.89,0.27,13.030695948035882,CTKA3,acoes
2018,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,-41.93,4.14353964866196,-8.49,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,10.20935542857143,10.44,-0.76,1.76,0.35,42.99,-30.193584756304414,14.57,-16.64,-20.25,-15.41,20.04,0.93,-1.19,13.030695948035882,CTKA3,acoes
2017,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,-33.55,4.14353964866196,-0.08,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,10.20935542857143,8.87,-0.65,1.65,0.38,39.77,-30.193584756304414,14.39,-0.17,-0.25,-0.16,-4.09,0.96,-2.22,13.030695948035882,CTKA3,acoes
2016,-6.43,-2.96,16.60521298419211,-754.25,-683.41,-3.37,1.97,-1.56,1.99,-2.09,-4.49,0.824658251231527,10.20935542857143,-372.76,-0.67,1.67,0.37,35.72,-30.193584756304414,-0.29,-31.03,-46.14,-30.7,-0.96,0.99,-2.57,13.030695948035882,CTKA3,acoes
2015,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,-1.87,4.14353964866196,-0.8,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,10.20935542857143,20.33,-0.42,1.42,0.44,39.3,-30.193584756304414,4.68,-18.87,-42.79,-17.9,8.21,0.95,-6.0,13.030695948035882,CTKA3,acoes
2014,-0.2,-0.31,-6.3,-5.04,-0.46,-4.81,0.07,-7.5,0.06,-0.18,-0.19,0.824658251231527,-5.98,-4.79,-0.22,1.22,0.63,35.06,-11.32,-14.14,-32.46,-155.77,-33.7,-27.11,1.04,1.35,13.030695948035882,CTKA3,acoes
2013,-0.83,-23.51,15.25,27.93,3.16,-0.09,0.09,-2.65,0.09,0.93,-0.18,0.824658251231527,14.15,25.92,0.0,1.0,1.22,35.58,5.46,2.98,-11.37,-2835.61,-10.5,3.21,0.92,1.08,13.030695948035882,CTKA3,acoes
2022,3.02,0.72,16.60521298419211,2.7,2.92,39.91,0.5,9.55,0.84,1.88,-0.95,-0.05,10.20935542857143,-0.19,0.7,0.3,2.33,53.98,-30.193584756304414,28.94,27.98,23.93,16.66,18.15,0.6,9.46,23.58,CGRA3,acoes
2021,4.39,1.03,3.63,3.95,4.26,38.15,0.71,8.91,1.25,2.51,-1.38,-0.05,-0.18,-0.2,0.69,0.31,2.38,53.42,31.94,29.35,28.46,23.36,16.1,18.2,0.57,9.46,22.23,CGRA3,acoes
2020,9.93,1.11,5.78,6.9,9.29,31.47,0.79,3.52,1.57,2.69,-1.55,-0.29,-2.0,-2.39,0.71,0.29,2.43,53.59,20.13,16.87,15.78,11.23,7.92,9.07,0.5,3.76,8.78,CGRA3,acoes
2019,4.63,1.02,4.67,5.39,6.14,29.22,0.69,6.45,1.25,3.14,-1.21,-0.12,-0.63,-0.72,0.68,0.32,2.07,53.38,23.42,20.31,26.94,22.09,14.97,11.56,0.56,3.42,16.83,CGRA3,acoes
2018,8.48,0.92,16.60521298419211,8.79,9.88,24.68,0.65,2.67,0.98,2.52,-1.17,-0.13,10.20935542857143,-1.35,0.7,0.3,2.32,51.89,-30.193584756304414,9.97,11.61,10.8,7.61,4.79,0.66,5.26,1.29,CGRA3,acoes
2017,9.24,1.19,16.60521298419211,9.39,11.72,22.87,0.83,2.94,1.32,2.5,-1.85,-0.27,10.20935542857143,-2.7,0.7,0.3,2.54,52.43,-30.193584756304414,11.3,14.34,12.84,9.01,6.08,0.63,6.09,10.14,CGRA3,acoes
2016,5.82,0.81,4.18,5.44,9.19,20.95,0.58,2.92,0.95,1.72,-1.27,-0.32,-2.77,-3.6,0.71,0.29,2.61,52.85,13.52,10.39,16.39,13.94,9.94,4.76,0.61,6.04,12.47,CGRA3,acoes
2015,4.82,0.52,2.11,2.86,6.29,19.79,0.38,2.14,0.6,1.02,-0.78,-0.25,-2.2,-2.97,0.72,0.28,3.46,51.4,12.92,9.55,12.46,10.8,7.79,4.52,0.63,7.46,6.98,CGRA3,acoes
2014,6.5,0.97,4.35,5.19,6.41,18.34,0.66,2.73,0.95,1.93,-1.42,-0.17,-0.94,-1.12,0.68,0.32,2.74,50.69,17.75,14.86,14.64,14.86,10.08,9.28,0.69,11.71,16.12,CGRA3,acoes
2013,7.12,1.01,4.43,5.35,6.73,16.33,0.69,2.31,1.0,2.04,-1.58,-0.25,-1.36,-1.64,0.66,0.3,2.54,51.1,17.97,14.88,14.07,14.16,9.36,9.1,0.67,8.991378868978357,13.030695948035882,CGRA3,acoes
2022,-0.43,-0.03,6.92,8.62,1.14,-634.97,0.05,-41.84,0.09,-0.03,-0.12,0.824658251231527,4.8,5.97,-1.87,2.87,0.22,39.48,9.95,7.99,-21.42,-6.59,-12.34,-1.81,0.58,4.9,13.030695948035882,ESTR3,acoes
2021,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,-616.75,4.14353964866196,-5.34,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,2.02,2.19,-1.71,2.71,0.25,47.67,23.52,21.79,-2.41,-0.87,-1.48,-8.32,0.61,4.9,13.030695948035882,ESTR3,acoes
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,-611.41,4.14353964866196,-19.42,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,2.12,2.39,-2.02,3.02,0.21,50.78,20.45,18.15,-11.33,-3.18,-6.42,-5.89,0.57,-3.9,13.030695948035882,ESTR3,acoes
2019,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,-591.99,4.14353964866196,-50.56,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,-17.75,-7.31,-2.32,3.32,0.16,50.21,-2.42,-5.89,-36.44,-8.54,-19.85,1.54,0.54,-11.86,13.030695948035882,ESTR3,acoes
2018,-0.57,-0.04,16.60521298419211,3.99,0.91,-541.29,0.08,-35.33,0.12,-0.04,-0.14,0.824658251231527,10.20935542857143,3.3,-2.1,3.1,0.17,46.96,-30.193584756304414,13.09,-21.11,-6.53,-13.67,-4.68,0.65,0.65,13.030695948035882,ESTR3,acoes
2017,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,-26.97,4.14353964866196,-2.7,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,10.20935542857143,-9.56,-1.94,2.94,0.21,55.56,-30.193584756304414,-3.91,-30.53,-10.0,-19.35,1.47,0.63,3.44,13.030695948035882,ESTR3,acoes
2016,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,-24.27,4.14353964866196,-3.86,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,10.20935542857143,-5.49,-1.72,2.72,0.23,49.53,-30.193584756304414,-7.65,-44.33,-15.92,-27.44,3.26,0.62,5.85,13.030695948035882,ESTR3,acoes
2015,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,-20.41,4.14353964866196,-2.78,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,10.20935542857143,-8.9,-1.47,2.47,0.3,42.39,-30.193584756304414,-4.62,-26.56,-13.61,-20.01,4.29,0.75,14.45,13.030695948035882,ESTR3,acoes
2014,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,-17.63,4.14353964866196,-1.57,7.512599199733244,119993.89719612765,110018.74129170092,0.824658251231527,10.20935542857143,5.0,-1.24,2.24,0.35,49.47,-30.193584756304414,6.8,-12.05,-8.91,-11.01,-3.81,0.91,21.21,13.030695948035882,ESTR3,acoes
