P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif
-21.24,2.79,16.60521298419211,56.73517328028479,16.07,1.57,0.23,-0.21,0.21,-2.73,-0.52,0.27,1.07,1.95,0.12,0.88,0.91,29.33,2.4,1.31,-0.99,-10.58,-1.27,3.35,1.28,4.36,13.030695948035882,7.93,1,0,1.4085750315258512
52.51,3.69,16.60521298419211,56.73517328028479,9.83,2.15,0.52,0.15,0.4,-4.94,-1.36,0.06,0.13,0.16,0.15,0.85,0.87,31.84,5.22,4.06,0.76,6.59,0.98,13.41,1.29,5.72,-9.47,3.75,1,0,1.1706666666666665
52.51,3.69,16.60521298419211,56.73517328028479,9.83,2.15,0.52,0.15,0.4,-4.94,-1.36,0.06,0.13,0.16,0.15,0.85,0.87,31.84,5.22,4.06,0.76,6.59,0.98,13.41,1.29,5.72,-9.47,3.75,1,0,1.1706666666666665
-48.92,1.66,16.60521298419211,56.73517328028479,6.52,2.18,0.27,-0.07,0.23,-3.45,-0.68,-0.03,-0.13,-0.13,0.16,0.84,0.89,33.84,3.6,3.6,-0.48,-3.38,-0.54,10.09,1.13,2.14,13.030695948035882,1.5,1,0,5.286666666666666
-48.92,1.66,16.60521298419211,56.73517328028479,6.52,2.18,0.27,-0.07,0.23,-3.45,-0.68,-0.03,-0.13,-0.13,0.16,0.84,0.89,33.84,3.6,3.6,-0.48,-3.38,-0.54,10.09,1.13,2.14,13.030695948035882,1.5,1,0,5.286666666666666
133.68,0.44,16.60521298419211,56.73517328028479,2.65,3.29,0.11,0.01,0.1,1.56,-0.33,-0.55,10.20935542857143,-3.28,0.26,0.74,1.13,32.04,-30.19358475630441,3.67,0.07,0.33,0.09,8.54,1.18,17.49,13.030695948035882,6.8,1,0,0.5514705882352942
133.68,0.44,16.60521298419211,56.73517328028479,2.65,3.29,0.11,0.01,0.1,1.56,-0.33,-0.55,10.20935542857143,-3.28,0.26,0.74,1.13,32.04,-30.19358475630441,3.67,0.07,0.33,0.09,8.54,1.18,17.49,13.030695948035882,6.8,1,0,0.5514705882352942
10.08,2.04,16.60521298419211,56.73517328028479,4.34,3.33,0.56,0.67,0.39,8.79,-1.8,-0.11,10.20935542857143,-0.25,0.29,0.71,1.37,32.44,-30.19358475630441,8.93,3.84,18.47,5.44,17.86,1.42,41.75,13.030695948035882,7.51,1,0,0.1997336884154461
10.08,2.04,16.60521298419211,56.73517328028479,4.34,3.33,0.56,0.67,0.39,8.79,-1.8,-0.11,10.20935542857143,-0.25,0.29,0.71,1.37,32.44,-30.19358475630441,8.93,3.84,18.47,5.44,17.86,1.42,41.75,13.030695948035882,7.51,1,0,0.1997336884154461
2.09,0.61,16.60521298419211,56.73517328028479,1.08,12.24,0.18,3.59,0.11,2.06,-0.54,0.11,10.20935542857143,0.19,0.29,0.71,1.15,30.8,-30.19358475630441,10.29,5.33,29.36,8.62,21.81,1.62,41.55,13.030695948035882,4.5,1,0,1.511111111111111
2.09,0.61,16.60521298419211,56.73517328028479,1.08,12.24,0.18,3.59,0.11,2.06,-0.54,0.11,10.20935542857143,0.19,0.29,0.71,1.15,30.8,-30.19358475630441,10.29,5.33,29.36,8.62,21.81,1.62,41.55,13.030695948035882,4.5,1,0,1.511111111111111
-23.89,1.5,44.77,-22.38,-24.19,8.61,0.54,-0.54,0.97,3.13,-1.05,-0.11,-3.63,1.81,0.36,0.64,1.56,46.42,2.01,-4.02,-4.07,-6.27,-2.28,-6.56,0.56,8.991378868978357,13.030695948035882,17.940001,1,0,0.3439241725794776
35.01,2.89,16.60521298419211,22.11,17.39,6.2,1.0,0.51,1.06,5.7,5.7,0.42,0.73,1.1,0.45,0.55,1712.99,48.59,29.55,19.55,0.02,0.04,0.02,13.47,0.88,8.991378868978357,13.030695948035882,16.77,1,0,0.3905784138342278
17.21,6.36,8.62,10.0,12.53,1.28,1.73,0.47,1.32,16.68,-7.3,-0.84,-1.42,-1.65,0.27,0.73,1.16,20.2,12.27,10.57,7.69,36.97,10.03,31.87,1.3,-0.28,19.96,10.25,1,0,0.7765853658536586
8.68,5.1,7.39,19.93,21.8,2.01,2.02,1.18,1.99,9.49,-8.88,-0.34,-0.54,-1.47,0.4,0.6,1.38,16.88,24.61,9.13,22.92,58.79,23.25,9.01,1.01,-4.33,20.14,5.1,1,0,1.6
42.44,3.5,15.86,26.52,32.09,1.46,0.99,0.12,1.24,6.7,-4.96,-0.23,-1.27,-2.12,0.28,0.72,1.22,15.77,6.45,3.86,2.92,8.25,2.32,6.74,0.8,-7.88,-25.98,4.99,1,0,2.0541082164328657
17.2,3.35,13.2,22.95,24.03,1.49,1.09,0.29,1.24,8.91,-3.57,0.01,0.02,0.04,0.29,0.7,1.17,17.54,8.98,5.17,7.22,19.47,5.6,6.41,0.78,-6.51,-6.39,3.15,1,0,1.619047619047619
15.38,1.99,9.57,23.88,22.59,1.6,0.73,0.21,0.82,7.08,-2.09,0.19,0.87,2.17,0.32,0.66,1.15,16.31,9.01,3.61,5.3,12.94,4.19,3.14,0.79,-4.65,-3.3,2.35,1,0,2.123404255319149
12.31,1.51,6.35,8.97,8.56,1.56,0.54,0.19,0.38,6.21,-1.49,-0.04,-0.16,-0.22,0.35,0.63,1.15,16.9,6.2,4.39,3.06,12.26,4.25,6.49,1.39,4.91,-14.3,3.95,1,0,0.7974683544303797
8.37,2.96,4.63,5.33,5.64,1.33,0.96,0.47,0.61,7.69,-3.32,-0.19,-0.31,-0.36,0.32,0.66,1.21,21.69,12.55,10.9,7.34,35.4,11.21,31.85,1.53,7.67,14.71,4.16,1,0,0.5649038461538461
7.69,2.66,4.18,4.81,5.85,1.56,0.95,0.54,0.67,5.39,-3.53,-0.35,-0.68,-0.78,0.36,0.63,1.32,23.03,13.17,11.44,8.71,34.57,12.36,33.18,1.42,8.991378868978357,13.030695948035882,3.31,1,0,1.1933534743202416
15.44,5.71,8.62,10.0,11.24,1.28,1.55,0.47,1.19,14.96,-6.55,-0.84,-1.42,-1.65,0.27,0.73,1.16,20.2,12.27,10.57,7.69,36.97,10.03,31.87,1.3,-0.28,19.96,9.97,1,0,0.6730190571715144
8.44,4.96,7.39,19.93,21.21,2.01,1.96,1.18,1.94,9.23,-8.63,-0.34,-0.54,-1.47,0.4,0.6,1.38,16.88,24.61,9.13,22.92,58.79,23.25,9.01,1.01,-4.33,20.14,4.3,1,0,1.702325581395349
35.78,2.95,15.86,26.52,27.05,1.46,0.83,0.12,1.04,5.65,-4.18,-0.23,-1.27,-2.12,0.28,0.72,1.22,15.77,6.45,3.86,2.92,8.25,2.32,6.74,0.8,-7.88,-25.98,4.65,1,0,2.1440860215053763
