P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif
-0.03,0.07,16.60521298419211,-1.12,-0.11,12.18,0.0,-32.61,0.0,-0.34,-0.01,0.65,10.20935542857143,-1.01,0.06,0.94,0.96,-2.39,-30.19358475630441,-3.96,-16.42,-267.8,-16.45,-71.01,1.0,-17.77,13.030695948035882,110.401108,1,0,0.024003382284895184
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,-593.34,4.14353964866196,-530.81,7.512599199733244,119993.89719612764,110018.74129170092,0.824658251231527,-7.03,-4.36,-0.26,1.26,1.46,-1.59,-8.47,-13.65,-22.72,-89.46,-23.56,-60.82,1.04,-14.02,13.030695948035882,288.002869,1,0,0.007986031555817591
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,0.04,4.14353964866196,-0.23,7.512599199733244,119993.89719612764,110018.74129170092,86.44,34.11,-7.89,0.01,0.99,1.49,4.62,1.59,-6.88,-3.83,-610.28,-3.6,-16.82,0.94,-7.13,13.030695948035882,360.003601,1,0,0.024694197433875114
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,0.49,4.14353964866196,-0.66,7.512599199733244,119993.89719612764,110018.74129170092,7.05,20.09,-6.86,0.06,0.94,0.54,2.54,2.5,-7.32,-9.47,-132.86,-8.61,-15.61,0.91,-0.01,13.030695948035882,13500.134766,1,0,0.001866666773095234
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,1.14,4.14353964866196,0.28,7.512599199733244,119993.89719612764,110018.74129170092,2.57,2.65,5.62,0.15,0.85,0.94,15.27,13.6,6.41,3.43,24.42,3.64,8.27,1.06,5.47,-6.0,16440.164063,1,0,0.006715328848114549
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,1.27,4.14353964866196,0.3,7.512599199733244,119993.89719612764,110018.74129170092,1.88,2.04,4.19,0.17,0.83,0.98,15.04,11.15,5.43,2.83,23.33,3.88,11.4,1.37,15.31,2.05,15000.150391,1,0,0.019199998766199038
-21.24,2.79,16.60521298419211,56.73517328028479,16.07,1.57,0.23,-0.21,0.21,-2.73,-0.52,0.27,1.07,1.95,0.12,0.88,0.91,29.33,2.4,1.31,-0.99,-10.58,-1.27,3.35,1.28,4.36,13.030695948035882,7.93,1,0,0.6645649432534678
-21.24,2.79,16.60521298419211,56.73517328028479,16.07,1.57,0.23,-0.21,0.21,-2.73,-0.52,0.27,1.07,1.95,0.12,0.88,0.91,29.33,2.4,1.31,-0.99,-10.58,-1.27,3.35,1.28,4.36,13.030695948035882,7.93,1,0,0.6645649432534678
52.51,3.69,16.60521298419211,56.73517328028479,9.83,2.15,0.52,0.15,0.4,-4.94,-1.36,0.06,0.13,0.16,0.15,0.85,0.87,31.84,5.22,4.06,0.76,6.59,0.98,13.41,1.29,5.72,-9.47,3.75,1,0,4.309333333333333
52.51,3.69,16.60521298419211,56.73517328028479,9.83,2.15,0.52,0.15,0.4,-4.94,-1.36,0.06,0.13,0.16,0.15,0.85,0.87,31.84,5.22,4.06,0.76,6.59,0.98,13.41,1.29,5.72,-9.47,3.75,1,0,4.309333333333333
