P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif_disc
12.31,1.51,6.35,8.97,8.56,1.56,0.54,0.19,0.38,6.21,-1.49,-0.04,-0.16,-0.22,0.35,0.63,1.15,16.9,6.2,4.39,3.06,12.26,4.25,6.49,1.39,4.91,-14.3,3.95,1,0,2.0
8.37,2.96,4.63,5.33,5.64,1.33,0.96,0.47,0.61,7.69,-3.32,-0.19,-0.31,-0.36,0.32,0.66,1.21,21.69,12.55,10.9,7.34,35.4,11.21,31.85,1.53,7.67,14.71,4.16,1,0,1.0
7.69,2.66,4.18,4.81,5.85,1.56,0.95,0.54,0.67,5.39,-3.53,-0.35,-0.68,-0.78,0.36,0.63,1.32,23.03,13.17,11.44,8.71,34.57,12.36,33.18,1.42,8.991378868978357,13.030695948035882,3.31,1,0,1.0
16.03,3.12,13.2,22.95,22.39,1.49,1.02,0.29,1.16,8.3,-3.32,0.01,0.02,0.04,0.29,0.7,1.17,17.54,8.98,5.17,7.22,19.47,5.6,6.41,0.78,-6.51,-6.39,3.02,1,0,2.0
14.51,1.88,9.57,23.88,21.32,1.6,0.69,0.21,0.77,6.68,-1.97,0.19,0.87,2.17,0.32,0.66,1.15,16.31,9.01,3.61,5.3,12.94,4.19,3.14,0.79,-4.65,-3.3,2.77,1,0,2.0
13.62,1.67,6.35,8.97,9.48,1.56,0.6,0.19,0.42,6.87,-1.65,-0.04,-0.16,-0.22,0.35,0.63,1.15,16.9,6.2,4.39,3.06,12.26,4.25,6.49,1.39,4.91,-14.3,4.0,1,0,2.0
8.48,3.0,4.63,5.33,5.71,1.33,0.97,0.47,0.62,7.78,-3.37,-0.19,-0.31,-0.36,0.32,0.66,1.21,21.69,12.55,10.9,7.34,35.4,11.21,31.85,1.53,7.67,14.71,3.89,1,0,1.0
7.19,2.49,4.18,4.81,5.47,1.56,0.89,0.54,0.63,5.04,-3.3,-0.35,-0.68,-0.78,0.36,0.63,1.32,23.03,13.17,11.44,8.71,34.57,12.36,33.18,1.42,8.991378868978357,13.030695948035882,3.08,1,0,1.0
-1.31,0.65,16.60521298419211,-2.85,-1.44,3.17,0.29,-1.57,2.22,1.45,-0.55,0.64,10.20935542857143,-1.41,0.45,0.54,1.78,-36.1,-30.19358475630441,-153.76,-169.05,-49.63,-22.45,-27.14,0.13,-22.67,13.030695948035882,21.460634,1,0,0.0
-0.83,0.26,16.60521298419211,-2.9,-0.81,8.19,0.12,-2.59,1.1,0.58,-0.26,0.69,10.20935542857143,-2.1,0.45,0.54,1.62,-22.78,-30.19358475630441,-136.36,-131.64,-31.6,-14.35,-18.73,0.11,-26.56,13.030695948035882,24.023415,1,0,0.0
