P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif_disc
-6.64,0.95,0.41,0.4,-5.23,5.71,0.89,-0.82,4.36,0.97,-49.58,-1.02,5.67,5.63,0.94,0.06,15.13,91.83,-82.82,-83.43,-65.67,-14.3,-13.37,-18.17,0.2,8.991378868978357,13.030695948035882,20.030001,1,0,0.0
13.23,2.38,16.60521298419211,11.31,11.47,3.52,2.35,0.63,7.512599199733244,28.62,-2.59,-0.03,10.20935542857143,-0.17,0.99,0.01,10.21,44.870923770184,-30.19358475630441,-13.713876267367633,-50.852420202778816,17.96,17.8,17.86,0.0,8.991378868978357,11.72,10.1,1,0,0.0
26.5,4.83,16.60521298419211,18.08,17.38,3.29,1.6,0.6,1.6,5.52,-3.34,0.19,10.20935542857143,0.7,0.33,0.67,2.27,16.86,-30.19358475630441,9.21,6.04,18.21,6.05,10.32,1.0,8.991378868978357,13.030695948035882,12.8,1,0,2.0
35.62,3.15,17.65,20.61,21.3,4.29,1.26,0.38,5.04,3.68,-2.2,-0.1,-0.59,-0.69,0.4,0.59,5.05,39.51,27.62,23.65,14.15,8.84,3.54,6.03,0.25,8.991378868978357,13.030695948035882,16.610001,1,0,0.0
5.5,1.05,2.61,3.06,3.89,16.22,0.35,3.09,0.28,1.74,-1.33,-0.22,-0.71,-0.83,0.33,0.67,1.37,14.08,8.32,7.1,5.02,19.07,6.36,20.12,1.27,8.991378868978357,13.030695948035882,18.889999,1,0,0.0
20.08,3.99,12.53,13.1,14.3,9.12,2.8,1.81,4.78,4.82,-10.34,-0.34,-1.15,-1.2,0.7,0.3,4.95,48.74,34.95,33.42,23.8,19.88,13.97,14.83,0.59,8.991378868978357,13.030695948035882,42.360001,1,0,0.0
-0.51,0.45,-129.02,-3.34,-0.62,5.79,0.04,-5.1,0.07,-0.13,-0.05,1.98,-105.15,-2.72,0.09,0.91,0.42,8.53,-0.28,-10.74,-13.0,-88.18,-7.72,-35.25,0.59,-12.49,13.030695948035882,2.3,1,0,2.0
-0.26,0.34,-12.65,-2.15,-0.38,6.78,0.03,-8.7,0.06,-0.16,-0.04,1.56,-10.39,-1.77,0.09,0.91,0.48,1.81,-2.66,-15.64,-22.72,-128.42,-12.05,-33.09,0.53,-16.98,13.030695948035882,8.89,1,0,0.0
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.637188375012069,7.512599199733244,119993.89719612764,110018.74129170092,0.824658251231527,-2.48,-1.51,-0.13,1.13,0.49,-17.07,-18.2,-29.8,-48.96,-255.17,-32.62,-102.93,0.67,-21.09,13.030695948035882,25.200253,1,0,0.0
-0.03,0.07,16.60521298419211,-1.12,-0.11,12.18,0.0,-32.61,0.0,-0.34,-0.01,0.65,10.20935542857143,-1.01,0.06,0.94,0.96,-2.39,-30.19358475630441,-3.96,-16.42,-267.8,-16.45,-71.01,1.0,-17.77,13.030695948035882,110.401108,1,0,0.0
