Empresas,Ativos,Tipo,error
MGM RESORTS ,M1GM34,bdrs,0
MICROCHIP TE,M1CH34,bdrs,0
MICRON TECHN,MUTC34,bdrs,0
MICROSOFT,MSFT34,bdrs,0
MID-AMERICA APARTMENT COMMUNITIES INC,M1AA34,bdrs,0
MITSUBISHI UFJ FINANCIAL GROUP INC,M1UF34,bdrs,0
MOBILE TELESYSTEMS PJSC,M1BT34,bdrs,0
MODERNA INC,M1RN34,bdrs,0
MOHAWK INDUSTRIES INC,M1HK34,bdrs,0
MOLSON COORS BREWING CO,M1CB34,bdrs,0
MONDELEZ INT ,MDLZ34,bdrs,0
MONGODB INC,M1DB34,bdrs,0
MONSTER BEVERAGE CORP,M1NS34,bdrs,0
MOODY’S CORP,MCOR34,bdrs,0
MOSAIC CO,MOSC34,bdrs,0
MOTOROLA SOLUTIONS INC,M1SI34,bdrs,0
MSCI INC,M1SC34,bdrs,0
NASDAQ INC,N1DA34,bdrs,0
NATIONAL GRID PLC,N1GG34,bdrs,0
NATIONAL OILWELL VARCO INC,N1OV34,bdrs,0
NATWEST GROUP PLC,N1WG34,bdrs,0
NETAPP INC,N1TA34,bdrs,0
NETEASE,NETE34,bdrs,0
NETFLIX,NFLX34,bdrs,0
NEUROCRINE BIOSCIENCES INC,N1BI34,bdrs,0
NEW ORIENTAL EDU & TECH GROUP INC,E1DU34,bdrs,0
NEWELL BRAND,N1WL34,bdrs,0
NEWMONT GOLD,N1EM34,bdrs,0
NEWS CORP,N1WS34,bdrs,0
NEWS CORPORATION,N1WS35,bdrs,0
NEXTERA ENER,NEXT34,bdrs,0
NICE LTD,N1IC34,bdrs,0
NIELSEN HOLDINGS PLC,N1LS34,bdrs,0
NISOURCE INC,N1IS34,bdrs,0
NOKIA CORP,NOKI34,bdrs,0
NOMURA HO,NMRH34,bdrs,0
NORDSTROM IN,J1WN34,bdrs,0
NORFOLK SOUTHERN CORP,N1SC34,bdrs,0
NORTHERN TRUST CORP,N1TR34,bdrs,0
NORTHROP GRU,NOCG34,bdrs,0
NORWEGIAN CR,N1CL34,bdrs,0
NOVARTIS AG,N1VS34,bdrs,0
NOVO NORDISK A/S,N1VO34,bdrs,0
NRG ENERGY I,N1RG34,bdrs,0
NUBANK,NUBR33,bdrs,0
NUCOR CORP,N1UE34,bdrs,0
NVIDIA CORP,NVDC34,bdrs,0
NVR INC,N1VR34,bdrs,0
NXP SEMICOND,N1XP34,bdrs,0
OCCIDENT PTR,OXYP34,bdrs,0
OKTA INC,O1KT34,bdrs,0
OLD DOMINION FREIGHT LINE INC,O1DF34,bdrs,0
OMNICOM GROUP INC,O1MC34,bdrs,0
ONEOK INC,O1KE34,bdrs,0
O’REILLY AUT,ORLY34,bdrs,0
ORIX CORP,I1XC34,bdrs,0
OTIS WORLDWIDE CORPORATION,O1TI34,bdrs,0
PACCAR INC,P1AC34,bdrs,0
PACKAGING CORP OF AMERICA,P1KG34,bdrs,0
PAGSEGURO,PAGS34,bdrs,0
PALANTIR TECHNOLOGIES,P2LT34,bdrs,0
PARKER-HANNIFIN CORP,P1HC34,bdrs,0
PAYCHEX INC,P1AY34,bdrs,0
PAYCOM SOFTWARE INC,P1YC34,bdrs,0
PAYPAL HOLD,PYPL34,bdrs,0
PENTAIR PLC,P1NR34,bdrs,0
PEOPLES UNITED FINANCIAL INC,P1BC34,bdrs,0
PERKINELMER INC,P1KI34,bdrs,0
PERRIGO CO PLC,P1RG34,bdrs,0
PETROCHIN,PTCH34,bdrs,0
PINTEREST,P2IN34,bdrs,0
PFIZER,PFIZ34,bdrs,0
PG,PGCO34,bdrs,0
PHILIP MORRIS,PHMO34,bdrs,0
PHILLIPS 66,P1SX34,bdrs,0
PINDUODUO INC,P1DD34,bdrs,0
PINNACLE WEST CAPITAL CORP,P1NW34,bdrs,0
PIONEER NATURAL RESOURCES CO,P1IO34,bdrs,0
PLANET FITNESS,P2LN34,bdrs,0
PNCFNANCIAL ,PNCS34,bdrs,0
POSCO,P1KX34,bdrs,0
PPG INDUSTRIES INC,P1PG34,bdrs,0
PPL CORP,P1PL34,bdrs,0
PRINCIPAL FINANCIAL GROUP INC,P1FG34,bdrs,0
PROCORE TECHNOLOGIES,P2CO34,bdrs,0
PROLOGIS INC,P1LD34,bdrs,0
PRUDENTIAL FINANCIAL INC,P1DT34,bdrs,0
PRUDENTIAL PLC,P1UK34,bdrs,0
PT TELEKOMUNIKASI INDONESIA PERSERO TBK,T1LK34,bdrs,0
PUBLIC SERVICE ENTERPRISE GROUP INC,P1EG34,bdrs,0
PUBLIC STORAGE,P1SA34,bdrs,0
PULTEGROUP I,P1HM34,bdrs,0
PVH CORP,P1VH34,bdrs,0
QORVO INC,Q1RV34,bdrs,0
QUALCOMM,QCOM34,bdrs,0
QUANTA SERVICES INC,Q1UA34,bdrs,0
QUEST DIAGNOSTICS INC,Q1UE34,bdrs,0
RALPH LAUREN CORP,R1LC34,bdrs,0
RAYMOND JAMES FINANCIAL INC,R1JF34,bdrs,0
RD SHELL,RDSA34,bdrs,1
REALTY INCOME CORP,R1IN34,bdrs,0
REGENCY CENTERS CORP,R1EG34,bdrs,0
REDFIN CORPORATION,R2DF34,bdrs,0
REGENERON PH,REGN34,bdrs,0
REGIONS FINA,R1FC34,bdrs,0
RELX PLC,R1EL34,bdrs,0
REPUBLIC SERVICES INC,R1SG34,bdrs,0
RESMED INC,R1MD34,bdrs,0
RIO TINTO,RIOT34,bdrs,0
RH,R2HH34,bdrs,0
ROBERT HALF INTERNATIONAL INC,R1HI34,bdrs,0
ROBLOX CORPORATION,R2BL34,bdrs,0
ROCKWELL AUTOMATION INC,R1OK34,bdrs,0
ROKU INC,R1KU34,bdrs,0
ROLLINS INC,R1OL34,bdrs,0
ROPER TECHNOLOGIES INC,R1OP34,bdrs,0
ROSS STORES,ROST34,bdrs,0
ROYAL CARIBBEAN CRUISES LTD,R1CL34,bdrs,0
ROYAL DUTCH SHELL PLC,RDSA35,bdrs,1
RYANAIR HOLDINGS PLC,R1YA34,bdrs,0
S&P GLOBAL ,SPGI34,bdrs,0
SALESFORCE,SSFO34,bdrs,0
SANTANDER,BCSA34,bdrs,0
SAP SE,SAPP34,bdrs,0
SAREPTA THERAPEUTICS INC,S1RP34,bdrs,0
SBA COMMUNICATIONS CORP,S1BA34,bdrs,0
SCHWAB,SCHW34,bdrs,0
SEAGATE TECH,S1TX34,bdrs,0
SEALED AIR CORP,S1EA34,bdrs,0
SEATTLE GENETICS INC,S1GE34,bdrs,0
SEMPRA ENERGY,S1RE34,bdrs,0
SERVICENOW INC,N1OW34,bdrs,0
SIBANYE STILLWATER LTD,S1BS34,bdrs,0
SIGNATURE BK,SBNY34,bdrs,0
SIMON PROP,SIMN34,bdrs,0
SIRIUS XM HD,SRXM34,bdrs,0
SK TELECOM CO LTD,S1KM34,bdrs,0
SKYWORKS SOLUTIONS INC,S1SL34,bdrs,0
SL GREEN REALTY CORP,S1LG34,bdrs,0
SMITH & NEPHEW PLC,S1NN34,bdrs,0
SNAP-ON INC,S1NA34,bdrs,0
SQUARESPACE,S2QS34,bdrs,0
SONY CORP,SNEC34,bdrs,1
SOUTHWEST AIRLINES CO,S1OU34,bdrs,0
SPLUNK INC,S1PL34,bdrs,0
SPOTIFY TECHNOLOGY SA,S1PO34,bdrs,0
SS&C TECHNOLOGIES HOLDINGS INC,S1SN34,bdrs,0
STANLEY BLACK & DECKER INC,S1WK34,bdrs,0
STATE STREET,S1TT34,bdrs,0
STERIS PLC,S1TE34,bdrs,0
STERLING BNC,SLBC34,bdrs,0
STMICROEL,STMN34,bdrs,0
STORE CAPITAL,S2TO34,bdrs,0
STRYKER CORP,S1YK34,bdrs,0
SUMITOMO MITSUI FINANCIAL GROUP INC,S1MF34,bdrs,0
SVB FINANCIAL GROUP,S1IV34,bdrs,0
SYMANTEC COR,S1YM34,bdrs,0
SYNCHRONY FI,S1YF34,bdrs,0
SYNOPSYS INC,S1NP34,bdrs,0
SYSCO CORP,S1YY34,bdrs,0
T ROWE PRICE GROUP INC,T1RO34,bdrs,0
TAIWANSMFAC,TSMC34,bdrs,0
TAKEDAPH,TAKP34,bdrs,0
TAKE-TWO INTERACTIVE SOFTWARE INC,T1TW34,bdrs,0
TAL EDUCATION GROUP,T1AL34,bdrs,0
TAPESTRY INC,TPRY34,bdrs,0
TE CONNECTIVITY LTD,T1EL34,bdrs,0
TECHNIPFMC PLC,T1EC34,bdrs,0
TELEFLEX INC,T1FX34,bdrs,0
TELEFONIC,TLNC34,bdrs,0
TEMPUR SEALY,T2PX34,bdrs,0
TENARIS SA,T1SS34,bdrs,0
TERNIUMSA,TXSA34,bdrs,0
TESLA MOTORS,TSLA34,bdrs,0
TEVA PHARMACEUTICAL INDUSTRIES LTD,T1EV34,bdrs,0
TEXTRON INC,T1XT34,bdrs,0
THE JM SMUCKER CO,S1JM34,bdrs,0
THE PROGRESSIVE CORP,P1GR34,bdrs,0
THE SHERWIN-WILLIAMS CO,S1HW34,bdrs,0
THE SOUTHERN,T1SO34,bdrs,0
THERMFISCHER,TMOS34,bdrs,0
TJX COMPANIE,TJXC34,bdrs,0
T-MOBILE US ,T1MU34,bdrs,0
TOYOTAMO,TMCO34,bdrs,0
TRACTOR SUPPLY CO,T1SC34,bdrs,0
TRANSDIGM GROUP INC,T1DG34,bdrs,0
TRANSOCEAN,RIGG34,bdrs,0
TRAVELERS,TRVC34,bdrs,0
TRIPADVISOR INC,T1RI34,bdrs,0
TWILIO INC,T1WL34,bdrs,0
TWITTER,TWTR34,bdrs,0
TYSON FOODS,TSNF34,bdrs,0
UBER TECH IN,U1BE34,bdrs,0
UBS GROUP,UBSG34,bdrs,0
UDR INC,U1DR34,bdrs,0
UIPATH,P2AT34,bdrs,0
ULTA BEAUTY INC,U1LT34,bdrs,0
UNDER ARMOUR INC,U1AI34,bdrs,0
UNILEVER,ULEV34,bdrs,0
UNILEVER NV,U1NL34,bdrs,1
UNIONPACIFIC,UPAC34,bdrs,0
UNITED AIRLI,U1AL34,bdrs,0
UNITED RENTALS INC,U1RI34,bdrs,0
UNITEDHEALTH,UNHH34,bdrs,0
UNIVERSAL HEALTH SERVICES INC,U1HS34,bdrs,0
UNUM GROUP,U1NM34,bdrs,0
UPS,UPSS34,bdrs,0
UPWORK,U2PW34,bdrs,0
US STEEL,USSX34,bdrs,0
VALERO ENER,VLOE34,bdrs,0
VALLEY NTION,VLYB34,bdrs,0
VARIAN MEDICAL SYSTEMS INC,V1AR34,bdrs,0
VEEVA SYSTEMS,V2EE34,bdrs,0
VENTAS INC,V1TA34,bdrs,0
VERISIGN INC,VRSN34,bdrs,0
VERISK ANALYTICS INC,V1RS34,bdrs,0
VERIZON,VERZ34,bdrs,0
VERTEX PHARM,VRTX34,bdrs,0
VF CORP,VFCO34,bdrs,0
VIMEO,V2ME34,bdrs,0
VIPSHOP HOLDINGS LTD,V1IP34,bdrs,0
VODAFONE GROUP PUBLIC LTD COMPANY,V1OD34,bdrs,0
VORNADO REALTY TRUST,V1NO34,bdrs,0
VULCAN MATERIALS CO,V1MC34,bdrs,0
WABTEC CORP,W1AB34,bdrs,0
WAL MART,WALM34,bdrs,0
WALGREENS,WGBA34,bdrs,0
WARNER MUSIC GROUP CORPORATION,W1MG34,bdrs,0
WASTE MANAG,W1MC34,bdrs,0
WATERS CORP,WATC34,bdrs,0
WATSCO INC,W1SO34,bdrs,0
WAYFAIR,W2YF34,bdrs,0
WEC ENERGY GROUP INC,W1EC34,bdrs,0
WEIBO CORP,W1BO34,bdrs,0
WELLS FARGO,WFCO34,bdrs,0
WELLTOWER INC,W1EL34,bdrs,0
WEST PHARMACEUTICAL SERVICES,W2ST34,bdrs,0
WESTERN BCOR,WABC34,bdrs,0
WESTERN DIG,W1DC34,bdrs,0
WESTERNUNION,WUNI34,bdrs,0
WESTPAC BANKING CORP,W1BK34,bdrs,0
WESTROCK CO,W1RK34,bdrs,0
WEYERHAEUSER CO,W1YC34,bdrs,0
WHIRLPOOL CORP,W1HR34,bdrs,0
WILLIAMS COS,W1MB34,bdrs,0
WILLIS TOWERS WATSON PLC,W1LT34,bdrs,0
WIX.COM LTD,W1IX34,bdrs,0
WORKDAY INC,W1DA34,bdrs,0
WPP PLC,W1PP34,bdrs,0
WR BERKLEY CORPORATION,W1RB34,bdrs,0
WW GRAINGER INC,G1WW34,bdrs,0
WYNN RESORTS,W1YN34,bdrs,0
XCEL ENERGY,X1EL34,bdrs,0
XILINX INC,X1LN34,bdrs,0
XYLEM INC,X1YL34,bdrs,0
YUM BRANDS,YUMR34,bdrs,0
ZEBRA TECHNOLOGIES CORPORATION,Z1BR34,bdrs,0
ZENDESK,Z2EN34,bdrs,0
ZILLOW GROUP,Z2LL34,bdrs,0
ZIMMER BIOMET HOLDINGS INC,Z1BH34,bdrs,0
ZIONSBANCORP,Z1IO34,bdrs,0
ZOETIS INC,Z1TS34,bdrs,0
ZOOM VIDEO COMMUNICATIONS INC,Z1OM34,bdrs,0
ZTO EXPRESS CAYMAN INC,Z1TO34,bdrs,0
ACCENTURE,ACNB34,bdrs,0
AIG GROUP,AIGB34,bdrs,0
AMERICAN EXP,AXPB34,bdrs,0
ATT INC,ATTB34,bdrs,0
BERKSHIRE,BERK34,bdrs,1
BNY MELLON,BONY34,bdrs,0
BOEING,BOEI34,bdrs,0
BRISTOLMYERS,BMYB34,bdrs,0
DUKE ENERGY,DUKB34,bdrs,0
DUPONT N INC,DDNB34,bdrs,0
FEDEX CORP,FDXB34,bdrs,0
FEMSA,FMXB34,bdrs,0
GEN DYNAMICS,GDBR34,bdrs,0
HONEYWELL,HONB34,bdrs,0
HP COMPANY,HPQB34,bdrs,0
IBM,IBMB34,bdrs,0
JOHNSON & JOHNSON,JNJB34,bdrs,0
KIMBERLY CL,KMBB34,bdrs,0
KRAFT HEINZ,KHCB34,bdrs,0
LOCKHEED,LMTB34,bdrs,0
METLIFE INC,METB34,bdrs,0
MORGAN STAN,MSBR34,bdrs,0
PEPSICO INC,PEPB34,bdrs,0
STARBUCKS,SBUB34,bdrs,0
TARGET CORP,TGTB34,bdrs,0
TEXAS INC,TEXA34,bdrs,0
VISA INC,VISA34,bdrs,0
WALT DISNEY,DISB34,bdrs,0
XEROX CORP,XRXB34,bdrs,0
AMAZON,AMZO34,bdrs,0
CATERPILLAR,CATP34,bdrs,0
CHEVRON,CHVX34,bdrs,0
COCA COLA,COCA34,bdrs,0
COLGATE,COLG34,bdrs,0
MASTERCARD,MSCD34,bdrs,0
NIKE,NIKE34,bdrs,0
ORACLE,ORCL34,bdrs,0
RAYTHEON TECH,RYTT34,bdrs,0
SCHLUMBERGER,SLBG34,bdrs,0
TIFFANY,TIFF34,bdrs,0
US BANCORP ,USBC34,bdrs,0
XP INC,XPBR31,bdrs,0
